url,original code,alternative code,original time,new time,api,alternative api
https://www.kaggle.com/aarotang/test-data,"np.hstack((x_num_data, vec_x_cat_data))","np.append(x_num_data, vec_x_cat_data, axis=1)",0.041127196,0.040032614,np.hstack,np.append
https://www.kaggle.com/aarotang/test-data,"np.hstack((x_num_data, vec_x_cat_data))","np.concatenate((x_num_data, vec_x_cat_data), axis=1)",0.031387328,0.030727563,np.hstack,np.concatenate
https://www.kaggle.com/aawadall/deep-neural-net,np.array(train_raw['label']),np.concatenate([train_raw['label']]),4.15e-05,3.9899999999999994e-05,np.array,np.concatenate
https://www.kaggle.com/aawadall/deep-neural-net,"np.sum(t, axis=0)",(t).sum( axis=0),0.000132402,0.000125096,np.sum,np.ndarray.sum
https://www.kaggle.com/aawadall/deep-neural-net,np.sum(logprobs),(logprobs).sum(),0.00013393700000000002,0.000127192,np.sum,np.ndarray.sum
https://www.kaggle.com/abrierly/nn-approach,"np.ones((1, m), dtype=np.float)","np.empty((1, m), dtype=np.float); r2.fill(1)",1.95e-06,9.69e-07,np.ones,np.empty
https://www.kaggle.com/acyouzi/test-frist,np.ones(len(FLS)),np.empty(len(FLS)); r2.fill(1),0.01345582,0.002411598,np.ones,np.empty
https://www.kaggle.com/adrianbureu/another-test,data.ix[891:],data.iloc[891:],0.00034407,0.000324922,pd.DataFrame.ix,pd.DataFrame.iloc
https://www.kaggle.com/aharless/jiwon-small-improvements-for-magic-number-results,"test.loc[equal_index, 'full_sq']","test.ix[equal_index, 'full_sq']",0.00032838400000000003,0.00029047700000000003,pd.DataFrame.loc,pd.DataFrame.ix
https://www.kaggle.com/aharless/jiwon-small-improvements-for-magic-number-results,"train.loc[kitch_is_build_year, 'build_year']","train.ix[kitch_is_build_year, 'build_year']",0.00039465,0.000293043,pd.DataFrame.loc,pd.DataFrame.ix
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"train.ix[bad_index, 'life_sq']","train.loc[bad_index, 'life_sq']",0.000756005,0.00024199,pd.DataFrame.ix,pd.DataFrame.loc
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"test.ix[equal_index, 'full_sq']","test.loc[equal_index, 'full_sq']",0.000301971,0.000249983,pd.DataFrame.ix,pd.DataFrame.loc
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"test.ix[equal_index, 'life_sq']","test.loc[equal_index, 'life_sq']",0.000290837,0.000253607,pd.DataFrame.ix,pd.DataFrame.loc
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"test.ix[bad_index, 'life_sq']","test.loc[bad_index, 'life_sq']",0.00044289800000000005,0.00020762599999999998,pd.DataFrame.ix,pd.DataFrame.loc
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"train.ix[bad_index, 'life_sq']","train.loc[bad_index, 'life_sq']",0.000712394,0.000218982,pd.DataFrame.ix,pd.DataFrame.loc
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"test.ix[bad_index, 'life_sq']","test.loc[bad_index, 'life_sq']",0.000728514,0.000210371,pd.DataFrame.ix,pd.DataFrame.loc
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"train.ix[bad_index, 'full_sq']","train.loc[bad_index, 'full_sq']",0.000566144,0.000206602,pd.DataFrame.ix,pd.DataFrame.loc
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"test.ix[bad_index, 'full_sq']","test.loc[bad_index, 'full_sq']",0.00039644800000000004,0.00020250599999999998,pd.DataFrame.ix,pd.DataFrame.loc
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"train.ix[kitch_is_build_year, 'kitch_sq']","train.loc[kitch_is_build_year, 'kitch_sq']",0.00029450900000000004,0.00024968799999999997,pd.DataFrame.ix,pd.DataFrame.loc
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"train.ix[kitch_is_build_year, 'build_year']","train.loc[kitch_is_build_year, 'build_year']",0.000287742,0.000245723,pd.DataFrame.ix,pd.DataFrame.loc
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"train.ix[bad_index, 'kitch_sq']","train.loc[bad_index, 'kitch_sq']",0.000950245,0.00020867299999999999,pd.DataFrame.ix,pd.DataFrame.loc
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"test.ix[bad_index, 'kitch_sq']","test.loc[bad_index, 'kitch_sq']",0.00062611,0.00020777,pd.DataFrame.ix,pd.DataFrame.loc
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"train.ix[bad_index, 'kitch_sq']","train.loc[bad_index, 'kitch_sq']",0.000965073,0.00044421,pd.DataFrame.ix,pd.DataFrame.loc
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"test.ix[bad_index, 'kitch_sq']","test.loc[bad_index, 'kitch_sq']",0.0007898730000000001,0.000280376,pd.DataFrame.ix,pd.DataFrame.loc
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"train.ix[bad_index, 'full_sq']","train.loc[bad_index, 'full_sq']",0.00041284599999999997,0.00020294,pd.DataFrame.ix,pd.DataFrame.loc
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"test.ix[bad_index, 'full_sq']","test.loc[bad_index, 'full_sq']",0.000351587,0.000193173,pd.DataFrame.ix,pd.DataFrame.loc
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"train.ix[bad_index, ['life_sq', 'full_sq']]","train.loc[bad_index, ['life_sq', 'full_sq']]",0.000642625,0.0006313790000000001,pd.DataFrame.ix,pd.DataFrame.loc
https://www.kaggle.com/aharless/latest-iteration-in-this-silly-game,"test.ix[bad_index, ['life_sq', 'full_sq']]","test.loc[bad_index, ['life_sq', 'full_sq']]",0.000609592,0.000599969,pd.DataFrame.ix,pd.DataFrame.loc
