D://crw_data//df.apply\source107\code\pd.DataFrame.apply_where_replace0.py,"TypeError: \'Series\' objects are mutable, thus they cannot be hashed",0
D://crw_data//df.apply\source13\code\pd.Series.apply_map_replace0.py,AttributeError: \'DataFrame\' object has no attribute \'map\',1
D://crw_data//df.apply\source13\code\pd.Series.apply_map_replace1.py,AttributeError: \'DataFrame\' object has no attribute \'map\',1
D://crw_data//df.apply\source14\code\pd.DataFrame.fillna_replace0.py,AttributeError: \'Series\' object has no attribute \'applymap\',0
D://crw_data//df.apply\source14\code\pd.DataFrame.fillna_replace1.py,AttributeError: \'Series\' object has no attribute \'applymap\',1
D://crw_data//df.apply\source14\code\pd.DataFrame.fillna_replace2.py,AttributeError: \'Series\' object has no attribute \'applymap\',1
D://crw_data//df.apply\source14\code\pd.Series.apply_map_replace0.py,AttributeError: \'DataFrame\' object has no attribute \'map\',1
D://crw_data//df.apply\source17\code\pd.Series.apply_map_replace0.py,AttributeError: \'DataFrame\' object has no attribute \'map\',1
D://crw_data//df.apply\source20\code\pd.Series.astype_replace0.py,AttributeError: \'datetime64[ns]\' is not a valid function for \'Series\' object,1
D://crw_data//df.apply\source23\code\pd.Series.apply_map_replace1.py,AttributeError: \'DataFrame\' object has no attribute \'map\',1
D://crw_data//df.apply\source25\code\pd.DataFrame.apply_where_replace0.py,"TypeError: \'Series\' objects are mutable, thus they cannot be hashed",0
D://crw_data//df.apply\source25\code\pd.Series.astype_replace0.py,AttributeError: \'numpy.ndarray\' object has no attribute \'apply\',1
D://crw_data//df.apply\source25\code\pd.Series.astype_replace1.py,AttributeError: \'numpy.ndarray\' object has no attribute \'apply\',1
D://crw_data//df.apply\source25\code\pd.Series.astype_replace2.py,AttributeError: \'numpy.ndarray\' object has no attribute \'apply\',1
D://crw_data//df.apply\source30\code\pd.DataFrame.fillna_replace0.py,AttributeError: \'Series\' object has no attribute \'applymap\',1
D://crw_data//df.apply\source30\code\pd.DataFrame.fillna_replace1.py,AttributeError: \'Series\' object has no attribute \'applymap\',1
D://crw_data//df.apply\source34\code\pd.DataFrame.fillna_replace0.py,AttributeError: \'Series\' object has no attribute \'applymap\',1
D://crw_data//df.apply\source34\code\pd.DataFrame.fillna_replace1.py,AttributeError: \'Series\' object has no attribute \'applymap\',1
D://crw_data//df.apply\source34\code\pd.Series.replace_map_replace0.py,"AttributeError: (""\'str\' object has no attribute \'map\'"", \'occurred at index 0\')",1
