2,whats-cooking,D://crw_data//np.arange\source227\code\np.arange_replace0.py,"np.arange(0.0, 5.0, 0.01)","np.array(range(0.0, 5.0, 0.01))",np.arange,np.array
2,whats-cooking,D://crw_data//np.arange\source227\code\np.arange_replace0.py,"np.arange(0.0, 5.0, 0.01)","np.array(range(0.0, 5.0, 0.01))",np.arange,np.array
2,titanic,D://crw_data//df.fillna\source23\code\np.arange_replace0.py,"np.arange(0.046, 0.051, 1e-07)","np.array(range(0.046, 0.051, 1e-07))",np.arange,np.array
2,facebook-v-predicting-check-ins,D://crw_data//df.loc\source180\code\np.arange_replace0.py,"np.arange(predictions.shape[1], dtype=np.float32)","np.array(range(predictions.shape[1], dtype=np.float32))",np.arange,np.array
2,facebook-v-predicting-check-ins,D://crw_data//df.loc\source181\code\np.arange_replace0.py,"np.arange(predictions.shape[1], dtype=np.float32)","np.array(range(predictions.shape[1], dtype=np.float32))",np.arange,np.array
2,digit-recognizer,D://crw_data//np.abs\source67\code\np.arange_replace0.py,"arange(0.0, math.pi * 4, 0.01)","array(range(0.0, math.pi * 4, 0.01))",np.arange,np.array
2,digit-recognizer,D://crw_data//np.abs\source67\code\np.arange_replace1.py,"np.arange(-5.0, 5.0, 0.1)","np.array(range(-5.0, 5.0, 0.1))",np.arange,np.array
2,digit-recognizer,D://crw_data//np.abs\source67\code\np.arange_replace2.py,"np.arange(-5.0, 5.0, 0.1)","np.array(range(-5.0, 5.0, 0.1))",np.arange,np.array
2,instacart-market-basket-analysis,D://crw_data//np.arange\source2\code\np.arange_replace0.py,"np.arange(0, len(P) + 1, 1.0)","np.array(range(0, len(P) + 1, 1.0))",np.arange,np.array
2,talkingdata-mobile-user-demographics,D://crw_data//np.arange\source204\code\np.arange_replace0.py,"np.arange(x_min, x_max, h)","np.array(range(x_min, x_max, h))",np.arange,np.array
2,digit-recognizer,D://crw_data//np.arange\source219\code\np.arange_replace0.py,"np.arange(x_min, x_max, h)","np.array(range(x_min, x_max, h))",np.arange,np.array
2,digit-recognizer,D://crw_data//np.arange\source219\code\np.arange_replace1.py,"np.arange(y_min, y_max, h)","np.array(range(y_min, y_max, h))",np.arange,np.array
2,facebook-v-predicting-check-ins,D://crw_data//np.arange\source296\code\np.arange_replace0.py,"np.arange(0, size, x_step)","np.array(range(0, size, x_step))",np.arange,np.array
2,facebook-v-predicting-check-ins,D://crw_data//np.arange\source296\code\np.arange_replace1.py,"np.arange(x_step, size + x_step, x_step)","np.array(range(x_step, size + x_step, x_step))",np.arange,np.array
2,facebook-v-predicting-check-ins,D://crw_data//np.arange\source296\code\np.arange_replace2.py,"np.arange(0, size, y_step)","np.array(range(0, size, y_step))",np.arange,np.array
2,facebook-v-predicting-check-ins,D://crw_data//np.arange\source296\code\np.arange_replace3.py,"np.arange(y_step, size + y_step, y_step)","np.array(range(y_step, size + y_step, y_step))",np.arange,np.array
2,grupo-bimbo-inventory-demand,D://crw_data//np.arange\source302\code\np.arange_replace0.py,"np.arange(3.915, 3.917, 0.0001)","np.array(range(3.915, 3.917, 0.0001))",np.arange,np.array
2,grupo-bimbo-inventory-demand,D://crw_data//np.arange\source303\code\np.arange_replace0.py,"np.arange(3, 5, 0.1)","np.array(range(3, 5, 0.1))",np.arange,np.array
2,grupo-bimbo-inventory-demand,D://crw_data//np.arange\source35\code\np.arange_replace0.py,"np.arange(min_float, max_float, 0.1)","np.array(range(min_float, max_float, 0.1))",np.arange,np.array
2,titanic,D://crw_data//np.arange\source385\code\np.arange_replace0.py,"np.arange(x_min, x_max, h)","np.array(range(x_min, x_max, h))",np.arange,np.array
2,titanic,D://crw_data//np.arange\source385\code\np.arange_replace1.py,"np.arange(y_min, y_max, h)","np.array(range(y_min, y_max, h))",np.arange,np.array
2,facebook-v-predicting-check-ins,D://crw_data//np.arange\source404\code\np.arange_replace0.py,"np.arange(0, size, x_step)","np.array(range(0, size, x_step))",np.arange,np.array
2,facebook-v-predicting-check-ins,D://crw_data//np.arange\source404\code\np.arange_replace1.py,"np.arange(x_step, size + x_step, x_step)","np.array(range(x_step, size + x_step, x_step))",np.arange,np.array
2,facebook-v-predicting-check-ins,D://crw_data//np.arange\source404\code\np.arange_replace2.py,"np.arange(0, size, y_step)","np.array(range(0, size, y_step))",np.arange,np.array
2,facebook-v-predicting-check-ins,D://crw_data//np.arange\source404\code\np.arange_replace3.py,"np.arange(y_step, size + y_step, y_step)","np.array(range(y_step, size + y_step, y_step))",np.arange,np.array
2,facebook-v-predicting-check-ins,D://crw_data//np.arange\source405\code\np.arange_replace0.py,"np.arange(0, size, x_step)","np.array(range(0, size, x_step))",np.arange,np.array
2,facebook-v-predicting-check-ins,D://crw_data//np.arange\source405\code\np.arange_replace1.py,"np.arange(x_step, size + x_step, x_step)","np.array(range(x_step, size + x_step, x_step))",np.arange,np.array
2,facebook-v-predicting-check-ins,D://crw_data//np.arange\source405\code\np.arange_replace2.py,"np.arange(0, size, y_step)","np.array(range(0, size, y_step))",np.arange,np.array
2,facebook-v-predicting-check-ins,D://crw_data//np.arange\source405\code\np.arange_replace3.py,"np.arange(y_step, size + y_step, y_step)","np.array(range(y_step, size + y_step, y_step))",np.arange,np.array
2,titanic,D://crw_data//np.arange\source99\code\np.arange_replace0.py,"np.arange(-10, 10, 0.1)","np.array(range(-10, 10, 0.1))",np.arange,np.array
2,titanic,D://crw_data//np.arange\source99\code\np.arange_replace1.py,"np.arange(-10, 10, 0.1)","np.array(range(-10, 10, 0.1))",np.arange,np.array
2,facebook-v-predicting-check-ins,D://crw_data//pd.concat\source1142\code\np.arange_replace0.py,"np.arange(0, size, x_step)","np.array(range(0, size, x_step))",np.arange,np.array
